,eef_x,eef_y,eef_z,object_x,object_y,object_z,diff_x,diff_y,diff_z,diff_obj_x,diff_obj_y,diff_obj_z,sum_x,sum_y,sum_z
184,1.439632858595135,-0.6251407802993052,1.460770406048055,1.4334311369866684,-0.6283355661428952,1.45734597878995,-0.006201721608466659,-0.003194785843590009,-0.0034244272581049895,0.0022571701263314203,-0.002024762225434684,-0.004294318164173472,0.04208695084603842,0.3588832221622975,0.12814910536529234
185,1.4421514977760286,-0.6279876339904785,1.456524132473026,1.435884261954922,-0.631093186893356,1.4530969253467148,-0.006267235821106665,-0.0031055529028775064,-0.0034272071263112824,0.0024531249682535616,-0.0027576207504608208,-0.00424905344323534,0.04454007581429198,0.36164084291275833,0.13239815880852768
186,1.4448785144778382,-0.6305993888195299,1.4523650934409782,1.4385563877980934,-0.6336229323843418,1.4489301677996822,-0.006322126679744855,-0.003023543564811826,-0.003434925641295994,0.0026721258431714467,-0.002529745490985724,-0.004166757547032551,0.047212201657463426,0.36417058840374406,0.13656491635556023
187,1.4471817690356221,-0.6336974076630327,1.4487942787836523,1.4408116421121833,-0.6366424688578611,1.4453471031114176,-0.006370126923438857,-0.0029450611948284022,-0.003447175672234737,0.002255254314089905,-0.0030195364735193797,-0.0035830646882646366,0.04946745597155333,0.36719012487726344,0.14014798104382487
188,1.449618746095624,-0.6369007846251469,1.4455237181981744,1.4432055259941805,-0.6397685482199322,1.4420609998214948,-0.0064132201014435175,-0.0028677635947853553,-0.003462718376679552,0.0023938838819972386,-0.003126079362071099,-0.003286103289922737,0.05186133985355057,0.37031620423933453,0.1434340843337476
189,1.4521493655690771,-0.6394588641033221,1.4426185554702031,1.4457017674110892,-0.6422551451867017,1.43913323855625,-0.006447598157987899,-0.0027962810833795926,-0.0034853169139530404,0.00249624141690874,-0.00248659696676945,-0.0029277612652447438,0.05435758127045931,0.372802801206104,0.14636184559899235
190,1.454624964594941,-0.6415045717775417,1.440065840927976,1.4481491674042282,-0.6442361192946906,1.4365551550049147,-0.006475797190712784,-0.00273154751714888,-0.003510685923061363,0.002447399993138921,-0.00198097410798892,-0.002578083551335375,0.05680498126359823,0.3747837753140929,0.14893992915032772
191,1.4570064330434005,-0.643442947010764,1.4376452000244926,1.450503629689867,-0.6461144966098303,1.4341136692018615,-0.006502803353533482,-0.0026715495990663474,-0.003531530822631135,0.0023544622856388475,-0.0018783773151397343,-0.002441485803053256,0.05915944354923708,0.37666215262923264,0.15138141495338098
192,1.459370706476001,-0.6451197603215049,1.435191229916493,1.45284154006207,-0.6477346329447344,1.4316432202086735,-0.006529166413931087,-0.0026148726232295694,-0.003548009707819544,0.0023379103722029893,-0.0016201363349040987,-0.0024704489931879348,0.06149735392144007,0.37828228896413674,0.1538518639465689
193,1.461822781426679,-0.6464308352458822,1.4328221119893176,1.4552684370634599,-0.6489882410543468,1.429257527053543,-0.006554344363219222,-0.002557405808464641,-0.0035645849357746062,0.0024268970013898716,-0.0012536081096123919,-0.002385693155130486,0.06392425092282994,0.37953589707374913,0.1562375571016994
