,eef_x,eef_y,eef_z,object_x,object_y,object_z,diff_x,diff_y,diff_z,sum_x,sum_y,sum_z
188,0.16304472181889995,-0.199717780925857,0.7455236980149417,1.4432055259941805,-0.6397685482199322,1.4420609998214948,0.0023938838819972386,-0.003126079362071099,-0.003286103289922737,0.0497329922918992,0.3655983937406241,0.14196381362957755
189,0.1604865078065043,-0.2022473310708024,0.742619298303874,1.4457017674110892,-0.6422551451867017,1.43913323855625,0.00249624141690874,-0.00248659696676945,-0.0029277612652447438,0.05222923370880794,0.36808499070739353,0.1448915748948223
190,0.15844044714673877,-0.20472244564975495,0.7400668153693303,1.4481491674042282,-0.6442361192946906,1.4365551550049147,0.002447399993138921,-0.00198097410798892,-0.002578083551335375,0.054676633701946864,0.37006596481538245,0.14746965844615767
191,0.15650149004300662,-0.20710351428501084,0.7376461271229897,1.450503629689867,-0.6461144966098303,1.4341136692018615,0.0023544622856388475,-0.0018783773151397343,-0.002441485803053256,0.05703109598758571,0.3719443421305222,0.14991114424921093
192,0.15482428412289395,-0.20946756281670975,0.7351920442162526,1.45284154006207,-0.6477346329447344,1.4316432202086735,0.0023379103722029893,-0.0016201363349040987,-0.0024704489931879348,0.0593690063597887,0.3735644784654263,0.15238159324239886
193,0.15351268066913015,-0.2119195729384371,0.7328230017425764,1.4552684370634599,-0.6489882410543468,1.429257527053543,0.0024268970013898716,-0.0012536081096123919,-0.002385693155130486,0.06179590336117857,0.3748180865750387,0.15476728639752935
194,0.15276374499908718,-0.21439549393862056,0.7303536951489166,1.4577180173157915,-0.6496807380701782,1.4267776660188838,0.0024495802523316623,-0.0006924970158314059,-0.0024798610346592476,0.06424548361351023,0.3755105835908701,0.1572471474321886
195,0.15244628514773273,-0.21722638292013885,0.7278750406328208,1.4605221072859491,-0.6499422971485154,1.4242905700447785,0.002804089970157575,-0.0002615590783371369,-0.0024870959741052356,0.06704957358366781,0.3757721426692072,0.15973424340629383
196,0.15222361464513479,-0.22024962986130014,0.7251412077264116,1.4635138134029273,-0.650113610457452,1.4215624644183762,0.0029917061169781878,-0.0001713133089366048,-0.002728105626402355,0.070041279700646,0.3759434559781438,0.16246234903269618
197,0.1520375992700681,-0.2236561213486994,0.7214838380060756,1.466822948392183,-0.6502385393302246,1.4179206563594644,0.0033091349892557798,-0.00012492887277260056,-0.0036418080589117885,0.07335041468990178,0.3760683848509164,0.16610415709160797
198,0.1519684846342929,-0.2275974243520078,0.7163740914658722,1.4706677066676404,-0.6502821883992138,1.4128823708433909,0.0038447582754572718,-4.3649068989237705e-05,-0.0050382855160735485,0.07719517296535905,0.37611203391990566,0.17114244260768152
199,0.15201402351846738,-0.23204351683782476,0.7105924822930613,1.4750230500617407,-0.6502216533408258,1.4072030488157228,0.004355343394100375,6.053505838798934e-05,-0.005679322027668077,0.08155051635945942,0.37617256897829365,0.1768217646353496
200,0.15208918245701541,-0.23657437397014247,0.7046941619491907,1.4794794444691077,-0.6501436799071556,1.4014118636248267,0.004456394407367004,7.79734336702198e-05,-0.005791185190896053,0.08600691076682643,0.3762505424119639,0.18261294982624565
201,0.15219010094371854,-0.24080237438305008,0.6992229949696673,1.4836401659822342,-0.6500337572227389,1.3960316685842198,0.00416072151312652,0.00010992268441667452,-0.005380195040606939,0.09016763227995295,0.37636046509638055,0.1879931448668526
202,0.15230096021220252,-0.24444756280697244,0.6939085406461436,1.4872207381292417,-0.6499204142798191,1.39080122489262,0.003580572147007466,0.00011334294291986957,-0.005230443691599751,0.09374820442696041,0.3764738080393004,0.19322358855845234
203,0.1524159765254588,-0.24779000035769427,0.6884948545686965,1.4905029675799149,-0.6498062971845898,1.3854696928335661,0.0032822294506731353,0.00011411709522923807,-0.005331532059053901,0.09703043387763355,0.37658792513452966,0.19855512061750624
204,0.15253556322339912,-0.2510156489723667,0.6830813055212447,1.4936651323127312,-0.6496804682655882,1.3801307453637564,0.003162164732816386,0.00012582891900159154,-0.005338947469809785,0.10019259861044993,0.37671375405353125,0.20389406808731603
205,0.15268166854055232,-0.2538946886987783,0.6779843471829542,1.4964740302612343,-0.6495381882061002,1.375090704098662,0.0028088979485030308,0.00014228005948802025,-0.005040041265094386,0.10300149655895297,0.37685603411301927,0.2089341093524104
206,0.15284342836613118,-0.2565449607371004,0.6728381854488285,1.4990773207856263,-0.6493870072318779,1.3699930259686774,0.00260329052439201,0.00015118097422228693,-0.0050976781299845175,0.10560478708334498,0.37700721508724155,0.21403178748239493
207,0.15290110324632633,-0.25907477375262067,0.6674876755452894,1.5015735344453822,-0.6493408458207106,1.364686510893552,0.0024962136597559414,4.616141116731143e-05,-0.005306515075125473,0.10810100074310092,0.37705337649840887,0.2193383025575204
208,0.15301178318600428,-0.26171153852565276,0.6620216684527708,1.5041799919734875,-0.6492374021128694,1.3592509982001133,0.002606457528105288,0.00010344370784121093,-0.005435512693438671,0.1107074582712062,0.3771568202062501,0.22477381525095907
209,0.15320605313347524,-0.26430600670029114,0.6566612505339818,1.5067553870484058,-0.6490508875524397,1.3539062428588868,0.0025753950749183296,0.00018651456042972914,-0.00534475534122647,0.11328285334612453,0.3773433347666798,0.23011857059218555
210,0.15336032911535324,-0.26683840350495736,0.6515737069022345,1.5092668402857476,-0.6489030126243956,1.3488228337728456,0.0025114532373418097,0.0001478749280440228,-0.005083409086041213,0.11579430658346634,0.37749120969472383,0.23520197967822676
211,0.15347539737402183,-0.2694568685336023,0.6463173101994848,1.5118636501409934,-0.6487929007718859,1.3435705661984987,0.0025968098552457963,0.0001101118525097533,-0.005252267574346936,0.11839111643871214,0.3776013215472336,0.2404542472525737
212,0.1536079228247046,-0.2719858266064379,0.6405545057998593,1.5143769406733545,-0.6486696572312798,1.3378186811001864,0.0025132905323610455,0.00012324354060611054,-0.005751885098312259,0.12090440697107319,0.3777245650878397,0.24620613235088595
213,0.1537378318425927,-0.2746289639390982,0.634753928671639,1.5170035238128026,-0.6485443659230331,1.3320223502068917,0.00262658313944808,0.00012529130824667778,-0.005796330893294677,0.12353099011052127,0.37784985639608637,0.25200246324418063
214,0.1538296785827905,-0.2772580403303764,0.6288715684810688,1.5196141678138497,-0.6484576708895,1.3261416324939084,0.0026106440010471577,8.669503353309072e-05,-0.005880717712983374,0.12614163411156842,0.37793655142961946,0.257883180957164
